formula,A1,A2,B1,B2,X,is_alloy,x_frac,Eg,dHf,dHd,A1_NdValence,A1_NValence,A1_Electronegativity,A1_AtomicRadius,A1_GSbandgap,A1_GSmagmom,A1_MeltingT,A2_NdValence,A2_NValence,A2_Electronegativity,A2_AtomicRadius,A2_GSbandgap,A2_GSmagmom,A2_MeltingT,B1_NdValence,B1_NValence,B1_Electronegativity,B1_AtomicRadius,B1_GSbandgap,B1_GSmagmom,B1_MeltingT,B2_NdValence,B2_NValence,B2_Electronegativity,B2_AtomicRadius,B2_GSbandgap,B2_GSmagmom,B2_MeltingT,X_NdValence,X_NValence,X_Electronegativity,X_AtomicRadius,X_GSbandgap,X_GSmagmom,X_MeltingT
Rb4TiCd3Br12,Rb,,Ti,Cd,Br,True,0.75,0.0,-1.4143147500000002,0.08055352801381632,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,2.0,4.0,1.54,1.4,0.0,2.25333333333e-05,1941.0,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Cs4Ni3CdBr12,Cs,,Ni,Cd,Br,True,0.25,0.04480000000000006,-1.129732,0.1002091769495026,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,8.0,10.0,1.91,1.35,0.0,0.5953947,1728.0,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Cs2NiCdBr6,Cs,,Ni,Cd,Br,True,0.5,0.1518,-1.2239572499999993,0.09717076944950254,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,8.0,10.0,1.91,1.35,0.0,0.5953947,1728.0,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Cs4NiCd3Br12,Cs,,Ni,Cd,Br,True,0.75,0.26289999999999997,-1.31717075,0.08084285119950163,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,8.0,10.0,1.91,1.35,0.0,0.5953947,1728.0,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,17.0,2.96,1.15,1.457,0.0,265.8
K2Cs2Fe3CdBr12,K,Cs,Fe,Cd,Br,True,0.25,0.005400000000000071,-1.1741315,0.10485696207450257,0.0,1.0,0.82,2.2,0.0,0.0,336.53,0.0,1.0,0.79,2.6,0.0,0.0,301.59,6.0,8.0,1.83,1.4,0.0,2.1106628,1811.0,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,17.0,2.96,1.15,1.457,0.0,265.8
KCsFeCdBr6,K,Cs,Fe,Cd,Br,True,0.5,0.0,-1.2610270000000003,0.07608436794950135,0.0,1.0,0.82,2.2,0.0,0.0,336.53,0.0,1.0,0.79,2.6,0.0,0.0,301.59,6.0,8.0,1.83,1.4,0.0,2.1106628,1811.0,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,17.0,2.96,1.15,1.457,0.0,265.8
K2Cs2FeCd3Br12,K,Cs,Fe,Cd,Br,True,0.75,0.0,-1.3129857500000006,0.08224852382450099,0.0,1.0,0.82,2.2,0.0,0.0,336.53,0.0,1.0,0.79,2.6,0.0,0.0,301.59,6.0,8.0,1.83,1.4,0.0,2.1106628,1811.0,10.0,12.0,1.69,1.55,0.0,0.0,594.22,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Cs4Ti3MnBr12,Cs,,Ti,Mn,Br,True,0.25,0.0,-1.4098570000000001,0.19100090464459507,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,2.0,4.0,1.54,1.4,0.0,2.25333333333e-05,1941.0,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Cs2TiMnBr6,Cs,,Ti,Mn,Br,True,0.5,0.0,-1.4320010000000003,0.13143729482812638,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,2.0,4.0,1.54,1.4,0.0,2.25333333333e-05,1941.0,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Cs4TiMn3Br12,Cs,,Ti,Mn,Br,True,0.75,0.0,-1.4159847500000011,0.0919785730504481,0.0,1.0,0.79,2.6,0.0,0.0,301.59,,,,,,,,2.0,4.0,1.54,1.4,0.0,2.25333333333e-05,1941.0,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,10.0,17.0,2.96,1.15,1.457,0.0,265.8
