formula,A1,A2,B,X,Eg,direct,dHf,dHd
RbCdBr3,Rb,,Cd,Br,1.3213,False,-1.37928075,0.06688123544950253
NaRbCo2Br6,Na,Rb,Co,Br,0.0,False,-0.9261344999999999,0.1486875769096656
NaRbCu2Br6,Na,Rb,Cu,Br,0.1506,False,-1.0316562499999997,0.023042636309916986
KCsPb2Br6,K,Cs,Pb,Br,2.3068,True,-1.451294,0.029804458949505896
RbNiF3,Rb,,Ni,F,0.5146999999999999,True,-2.318555,0.030821400478665772
RbCsPb2Br6,Rb,Cs,Pb,Br,2.2211999999999996,True,-1.469284,0.015675643610216117
CsMgF3,Cs,,Mg,F,6.5039,True,-3.3935695000000003,0.07460543106199413
RbMgBr3,Rb,,Mg,Br,2.9212000000000002,True,-1.767606,0.03449567561617073
RbCaBr3,Rb,,Ca,Br,4.2123,True,-2.133428,0.007964492449503258
NaCoF3,Na,,Co,F,0.06309999999999993,False,-2.3535685,0.00827657214899613
NaCuF3,Na,,Cu,F,0.005099999999999993,True,-2.2752107500000003,-0.0326043840176693
CsCdF3,Cs,,Cd,F,3.2561999999999998,True,-2.6468325000000004,0.014191718478659965
CsSrI3,Cs,,Sr,I,3.9546,True,-1.7692714999999999,-0.005389593876339305
KCoCl3,K,,Co,Cl,0.0,False,-1.2468362499999999,0.09881401437147419
KRbMn2F6,K,Rb,Mn,F,1.5177999999999998,False,-2.7843432500000005,0.010120025177966951
CsVCl3,Cs,,V,Cl,0.09350000000000014,True,-1.6580932499999996,0.07504929137147354
KMgF3,K,,Mg,F,6.7942,True,-3.5049620000000004,-0.0007418976880062544
KCaF3,K,,Ca,F,6.5466,False,-3.6803462499999995,0.016663004478664867
RbMnBr3,Rb,,Mn,Br,0.9024000000000001,True,-1.34791125,0.03863209070812346
KCoBr3,K,,Co,Br,0.0,False,-0.9659975000000003,0.12376812478283528
KCuBr3,K,,Cu,Br,0.0,False,-1.0554892500000002,0.02251530944950053
RbCsNi2I6,Rb,Cs,Ni,I,,,,
CsTiBr3,Cs,,Ti,Br,0.0,False,-1.5019054999999994,0.10947233620675689
CsPbBr3,Cs,,Pb,Br,2.0999000000000003,True,-1.4923175,0.00464626173521987
CsCdCl3,Cs,,Cd,Cl,1.7392,True,-1.6697362500000001,0.02759316137146861
CsCoI3,Cs,,Co,I,0.09209999999999985,False,-0.6228545000000004,0.17597252712365563
RbCsCo2Cl6,Rb,Cs,Co,Cl,0.1995,False,-1.2632279999999998,0.1276426206214718
RbCdF3,Rb,,Cd,F,3.1638,True,-2.6349315,0.021557315478658357
KCsMn2Br6,K,Cs,Mn,Br,1.0341,True,-1.353651,0.06073448758311972
KRbNi2F6,K,Rb,Ni,F,0.4606999999999999,False,-2.33191875,0.03179224081199905
RbCsCa2F6,Rb,Cs,Ca,F,6.552199999999999,True,-3.686325,0.001125625000000241
KPbBr3,K,,Pb,Br,2.4212,True,-1.4223402500000002,0.04016341944950108
CsVBr3,Cs,,V,Br,0.09759999999999991,True,-1.3394932499999996,0.06325589144950339
CsSrBr3,Cs,,Sr,Br,4.2379,True,-2.21311725,-0.009937348550494551
KRbSn2Br6,K,Rb,Sn,Br,1.2807,True,-1.38294575,0.018256479319743057
CsCuBr3,Cs,,Cu,Br,0.0,False,-1.1091650000000002,-0.003428357407645244
RbSrCl3,Rb,,Sr,Cl,4.867,True,-2.474772,0.01850212537147433
KRbCo2F6,K,Rb,Co,F,0.0,False,-2.3613127499999997,0.018773431207831592
KRbCd2F6,K,Rb,Cd,F,3.1903,True,-2.63091075,0.018454717978660273
RbCsFe2I6,Rb,Cs,Cs,I,0.023499999999999854,False,-0.6948627499999998,0.13336977645699255
RbMgF3,Rb,,Mg,F,6.838500000000001,True,-3.4689247499999993,0.009952465311993564
CsCrI3,Cs,,Cr,I,0.0,False,-0.8858764999999998,0.08449722945699278
CsNiI3,Cs,,Ni,I,,,,
KCsSr2Br6,K,Cs,Sr,Br,4.2453,False,-2.18512725,0.015667036724749117
CsTiCl3,Cs,,Ti,Cl,0.0,False,-1.6969357500000002,0.23191475754298008
CsBaCl3,Cs,,Ba,Cl,4.824199999999999,True,-2.5098115,0.03461213937147356
RbCrBr3,Rb,,Cr,Br,0.0,False,-1.2815877500000006,0.03914222578283688
RbSrBr3,Rb,,Sr,Br,4.0682,False,-2.1621175000000004,0.026391974449500477
RbCsCu2Br6,Rb,Cs,Cu,Br,0.0,False,-1.1032705,-0.006931750000000569
RbCsSn2Br6,Rb,,Sn,F,1.2219999999999998,True,-1.4077495,0.009219646819744298
KRbZn2F6,K,,Zn,F,3.6116,False,-2.7269617500000005,0.03126438079116234
CsPbF3,Cs,,Pb,F,3.1637,True,-2.7311834999999993,-0.003338530521334704
KCsCr2Br6,K,Cs,Cr,Br,0.0,False,-1.2876512500000004,0.06335610244950374
KCsSn2Br6,K,Cs,Sn,Br,1.2762000000000002,True,-1.3893912500000005,0.027558821319743743
CsNiF3,Cs,,Ni,F,0.45650000000000013,True,-2.249816499999999,0.11305896247866265
CsMnF3,Cs,,Mn,F,2.0218999999999996,True,-2.7600567499999995,0.007384229237282547
RbSnBr3,Rb,,Sn,Br,1.2325000000000002,True,-1.3927559999999999,0.008465304819745612
RbCaF3,Rb,,Ca,F,6.540100000000001,True,-3.6813837500000006,-0.006787086521335084
NaRbCo2F6,Na,Rb,Co,F,0.20750000000000002,True,-2.329056,0.04983334737632816
