alloy_id,A1,A2,B1,B2,X,x,formula,formula_0,formula_100,Eg,direct,dHf,dHd
K2MnZnF6,K,,Mn,Zn,F,75,K4MnZn3F12,KMnF3,KZnF3,1.3983999999999999,False,-2.7518227499999997,0.029409499918320314
KCsCoCdCl6,K,Cs,Co,Cd,Cl,25,K2Cs2Co3CdCl12,KCsCo2Cl6,KCsCd2Cl6,0.28479999999999994,False,-1.3512709999999999,0.10552394124647124
KCsCoCdCl6,K,Cs,Co,Cd,Cl,50,KCsCoCdCl6,KCsCo2Cl6,KCsCd2Cl6,0.33430000000000004,False,-1.4475902500000004,0.08795853874647053
KCsCoCdCl6,K,Cs,Co,Cd,Cl,75,K2Cs2CoCd3Cl12,KCsCo2Cl6,KCsCd2Cl6,0.38260000000000005,False,-1.5469787499999998,0.0673238862464709
KCsCaCoCl6,K,Cs,Ca,Co,Cl,25,K2Cs2Ca3CoCl12,KCsCa2Cl6,KCsCo2Cl6,0.3978999999999999,False,-2.1680995,0.0338409311214698
KCsCaCoCl6,K,Cs,Ca,Co,Cl,50,KCsCaCoCl6,KCsCa2Cl6,KCsCo2Cl6,0.3124,False,-1.8597817499999998,0.06647747412146998
KCsCaCoCl6,K,Cs,Ca,Co,Cl,75,K2Cs2CaCo3Cl12,KCsCa2Cl6,KCsCo2Cl6,0.2762,False,-1.5574530000000002,0.09312501712147236
RbCsCaSrCl6,Rb,Cs,Ca,Sr,Cl,25,Rb2Cs2Ca3SrCl12,RbCsCa2Cl6,RbCsSr2Cl6,5.1905,False,-2.4885460000000004,0.004769750935739392
RbCsCaSrCl6,Rb,Cs,Ca,Sr,Cl,50,RbCsCaSrCl6,RbCsCa2Cl6,RbCsSr2Cl6,5.1873000000000005,False,-2.49502,0.004533062685736944
RbCsCaSrCl6,Rb,Cs,Ca,Sr,Cl,75,Rb2Cs2CaSr3Cl12,RbCsCa2Cl6,RbCsSr2Cl6,5.1467,False,-2.5007634999999997,0.003264931028600593
KRbMgCaF6,K,Rb,Mg,Ca,F,25,K2Rb2Mg3CaF12,KRbMg2F6,KRbCa2F6,6.677,True,-3.5311802499999994,0.021344341353664475
KRbMgCaF6,K,Rb,Mg,Ca,F,50,KRbMgCaF6,KRbMg2F6,KRbCa2F6,6.6013,True,-3.57033275,0.03735799489533154
KRbMgCaF6,K,Rb,Mg,Ca,F,75,K2Rb2MgCa3F12,KRbMg2F6,KRbCa2F6,6.421200000000001,True,-3.6254627499999996,0.023369805197667404
RbCsCaCoBr6,Rb,Cs,Ca,Co,Br,25,Rb2Cs2Ca3CoBr12,RbCsCa2Br6,RbCsCo2Br6,0.3936,False,-1.8650174999999998,0.04401671209975211
RbCsCaCoBr6,Rb,Cs,Ca,Co,Br,50,RbCsCaCoBr6,RbCsCa2Br6,RbCsCo2Br6,0.32089999999999996,False,-1.5670302500000006,0.08070098160227746
RbCsCaCoBr6,Rb,Cs,Ca,Co,Br,75,Rb2Cs2CaCo3Br12,RbCsCa2Br6,RbCsCo2Br6,0.259,False,-1.2745260000000003,0.11030805243561081
Cs2MnSnI6,Cs,,Mn,Sn,I,25,Cs4Mn3SnI12,CsMnI3,CsSnI3,0.9294000000000002,False,-0.9783792499999997,0.058311191285179476
Cs2MnSnI6,Cs,,Mn,Sn,I,50,Cs2MnSnI6,CsMnI3,CsSnI3,0.9815,False,-1.00356575,0.049045852688085034
Cs2MnSnI6,Cs,,Mn,Sn,I,75,Cs4MnSn3I12,CsMnI3,CsSnI3,1.1602999999999999,False,-1.0315767500000004,0.0319191716743239
NaKCoCuCl6,Na,K,Co,Cu,Cl,25,Na2K2Co3CuCl12,NaKCo2Cl6,NaKCu2Cl6,0.0,False,-1.2285037500000002,0.09699049595663833
NaKCoCuCl6,Na,K,Co,Cu,Cl,50,NaKCoCuCl6,NaKCo2Cl6,NaKCu2Cl6,0.0,False,-1.2438224999999996,0.07978225395663996
NaKCoCuCl6,Na,K,Co,Cu,Cl,75,Na2K2CoCu3Cl12,NaKCo2Cl6,NaKCu2Cl6,0.0,False,-1.2522727499999995,0.05112822545663853
RbCsMnSrBr6,Rb,Cs,Mn,Sr,Br,25,Rb2Cs2Mn3SrBr12,RbCsMn2Br6,RbCsSr2Br6,1.5194999999999999,False,-1.5725032500000005,0.042392846518464644
RbCsMnSrBr6,Rb,Cs,Mn,Sr,Br,50,RbCsMnSrBr6,RbCsMn2Br6,RbCsSr2Br6,,,,
RbCsMnSrBr6,Rb,Cs,Mn,Sr,Br,75,Rb2Cs2MnSr3Br12,RbCsMn2Br6,RbCsSr2Br6,2.5337,False,-1.9831284999999998,0.032750663389153
KCsMgMnCl6,K,Cs,Mg,Mn,Cl,25,K2Cs2Mg3MnCl12,KCsMg2Cl6,KCsMn2Cl6,2.5371,True,-2.0052925000000004,0.020351245602794776
KCsMgMnCl6,K,Cs,Mg,Mn,Cl,50,KCsMgMnCl6,KCsMg2Cl6,KCsMn2Cl6,1.6307,False,-1.8899895000000009,0.021270810084116576
KCsMgMnCl6,K,Cs,Mg,Mn,Cl,75,K2Cs2MgMn3Cl12,KCsMg2Cl6,KCsMn2Cl6,1.4993000000000003,False,-1.7745067499999998,0.022370124565441074
KRbCaMnCl6,K,Rb,Ca,Mn,Cl,25,K2Rb2Ca3MnCl12,KRbCa2Cl6,KRbMn2Cl6,2.7655,False,-2.256438250000001,0.008249713282522109
KRbCaMnCl6,K,Rb,Ca,Mn,Cl,50,KRbCaMnCl6,KRbCa2Cl6,KRbMn2Cl6,1.9030999999999998,False,-2.0525915,0.01560292656504636
KRbCaMnCl6,K,Rb,Ca,Mn,Cl,75,K2Rb2CaMn3Cl12,KRbCa2Cl6,KRbMn2Cl6,1.6973,False,-1.8516945,0.02000638984756975
KRbCoCuBr6,K,Rb,Co,Cu,Br,25,K2Rb2Co3CuBr12,KRbCo2Br6,KRbCu2Br6,0.0,False,-0.9969430000000002,0.11231963465783412
KRbCoCuBr6,K,Rb,Co,Cu,Br,50,KRbCoCuBr6,KRbCo2Br6,KRbCu2Br6,0.0,False,-1.0260777500000002,0.08787218032450195
KRbCoCuBr6,K,Rb,Co,Cu,Br,75,K2Rb2CoCu3Br12,KRbCo2Br6,KRbCu2Br6,0.011700000000000044,False,-1.0578855,0.04339459133712653
KRbCoCuCl6,K,Rb,Co,Cu,Cl,25,K2Rb2Co3CuCl12,KRbCo2Cl6,KRbCu2Cl6,0.0,False,-1.2787785,0.08095608287147149
KRbCoCuCl6,K,Rb,Co,Cu,Cl,50,KRbCoCuCl6,KRbCo2Cl6,KRbCu2Cl6,0.0,False,-1.2935625000000002,0.059923869497178206
KRbCoCuCl6,K,Rb,Co,Cu,Cl,75,K2Rb2CoCu3Cl12,KRbCo2Cl6,KRbCu2Cl6,0.0,False,-1.31217325,0.030706184748586995
KRbMnCoCl6,K,Rb,Mn,Co,Cl,25,K2Rb2Mn3CoCl12,KRbMn2Cl6,KRbCo2Cl6,0.0,False,-1.5511450000000004,0.049170439440437086
KRbMnCoCl6,K,Rb,Mn,Co,Cl,50,KRbMnCoCl6,KRbMn2Cl6,KRbCo2Cl6,0.0,False,-1.4512664999999998,0.06976976100078414
KRbMnCoCl6,K,Rb,Mn,Co,Cl,75,K2Rb2MnCo3Cl12,KRbMn2Cl6,KRbCo2Cl6,0.0,False,-1.3503234999999996,0.0914335825611281
Cs2CrCdBr6,Cs,,Cr,Cd,Br,25,Cs4Cr3CdBr12,CsCrBr3,CsCdBr3,0.0,False,-1.338472,0.06624495582450507
Cs2CrCdBr6,Cs,,Cr,Cd,Br,50,Cs2CrCdBr6,CsCrBr3,CsCdBr3,0.0,False,-1.3583357500000002,0.06977528153283519
Cs2CrCdBr6,Cs,,Cr,Cd,Br,75,Cs4CrCd3Br12,CsCrBr3,CsCdBr3,0.0,False,-1.3823632500000005,0.0691418572411675
Rb2MgCoI6,Rb,,Mg,Co,I,25,Rb4Mg3CoI12,RbMgI3,RbCoI3,0.3800999999999999,True,-1.10737025,0.09519185929032492
Rb2MgCoI6,Rb,,Mg,Co,I,50,Rb2MgCoI6,RbMgI3,RbCoI3,0.10140000000000016,True,-0.9267237500000001,0.13250200979032511
Rb2MgCoI6,Rb,,Mg,Co,I,75,Rb4MgCo3I12,RbMgI3,RbCoI3,0.0,False,-0.7484774999999999,0.16741191029032443
RbCsVSnCl6,Rb,Cs,V,Sn,Cl,25,Rb2Cs2V3SnCl12,RbCsV2Cl6,RbCsSn2Cl6,0.2744,False,-1.6506394999999998,0.053227495644588174
RbCsVSnCl6,Rb,Cs,V,Sn,Cl,50,RbCsVSnCl6,RbCsV2Cl6,RbCsSn2Cl6,0.16959999999999997,False,-1.643246,0.053217260862144844
RbCsVSnCl6,Rb,Cs,V,Sn,Cl,75,Rb2Cs2VSn3Cl12,RbCsV2Cl6,RbCsSn2Cl6,0.6506000000000003,False,-1.65063075,0.03100339747414882
Cs2MgSrCl6,Cs,,Mg,Sr,Cl,25,Cs4Mg3SrCl12,CsMgCl3,CsSrCl3,4.3484,True,-2.23665325,0.012953424996475338
Cs2MgSrCl6,Cs,,Mg,Sr,Cl,50,Cs2MgSrCl6,CsMgCl3,CsSrCl3,4.6627,True,-2.32327225,0.020581476038140423
Cs2MgSrCl6,Cs,,Mg,Sr,Cl,75,Cs4MgSr3Cl12,CsMgCl3,CsSrCl3,4.9621,False,-2.4245537500000003,0.007834238019067463
Rb2MnSnCl6,Rb,,Mn,Sn,Cl,25,Rb4Mn3SnCl12,RbMnCl3,RbSnCl3,1.502,False,-1.6502142499999999,0.026988505282998787
Rb2MnSnCl6,Rb,,Mn,Sn,Cl,50,Rb2MnSnCl6,RbMnCl3,RbSnCl3,1.5362,False,-1.6422920000000012,0.02915985043590208
Rb2MnSnCl6,Rb,,Mn,Sn,Cl,75,Rb4MnSn3Cl12,RbMnCl3,RbSnCl3,2.0453,False,-1.6383264999999994,0.02360265808880735
KRbCaVCl6,K,Rb,Ca,V,Cl,25,K2Rb2Ca3VCl12,KRbCa2Cl6,KRbV2Cl6,1.2448000000000001,True,-2.2566472499999994,0.008612376451806014
KRbCaVCl6,K,Rb,Ca,V,Cl,50,KRbCaVCl6,KRbCa2Cl6,KRbV2Cl6,0.4315000000000002,False,-2.0485644999999995,0.020773252903606654
KRbCaVCl6,K,Rb,Ca,V,Cl,75,K2Rb2CaV3Cl12,KRbCa2Cl6,KRbV2Cl6,0.4152,False,-1.8492629999999999,0.023544023996474372
KCsCrMnCl6,K,Cs,Cr,Mn,Cl,25,K2Cs2Cr3MnCl12,KCsCr2Cl6,KCsMn2Cl6,0.0,False,-1.6042045000000003,0.04985739233890474
KCsCrMnCl6,K,Cs,Cr,Mn,Cl,50,KCsCrMnCl6,KCsCr2Cl6,KCsMn2Cl6,0.0,False,-1.6160919999999996,0.05306789816745017
KCsCrMnCl6,K,Cs,Cr,Mn,Cl,75,K2Cs2CrMn3Cl12,KCsCr2Cl6,KCsMn2Cl6,0.0,False,-1.6288310000000004,0.046995668607107355
K2CoCuF6,K,,Co,Cu,F,25,K4Co3CuF12,KCoF3,KCuF3,0.0,False,-2.37078225,0.0027775349839993524
K2CoCuF6,K,,Co,Cu,F,50,K2CoCuF6,KCoF3,KCuF3,0.0,False,-2.3586370000000003,-0.005918726677338171
K2CoCuF6,K,,Co,Cu,F,75,K4CoCu3F12,KCoF3,KCuF3,0.0,False,-2.318486,0.013390761661331574
KCsVMnCl6,K,Cs,V,Mn,Cl,25,K2Cs2V3MnCl12,KCsV2Cl6,KCsMn2Cl6,0.3218000000000001,False,-1.6538229999999998,0.05964592061112661
KCsVMnCl6,K,Cs,V,Mn,Cl,50,KCsVMnCl6,KCsV2Cl6,KCsMn2Cl6,0.34299999999999997,False,-1.6573050000000003,0.052280122700784304
KCsVMnCl6,K,Cs,V,Mn,Cl,75,K2Cs2VMn3Cl12,KCsV2Cl6,KCsMn2Cl6,0.41389999999999993,False,-1.66090625,0.037065439657105514
K2CaVCl6,K,,Ca,V,Cl,25,K4Ca3VCl12,KCaCl3,KVCl3,1.2529000000000001,True,-2.2488105,0.006202323371470975
K2CaVCl6,K,,Ca,V,Cl,50,K2CaVCl6,KCaCl3,KVCl3,0.5139999999999998,False,-2.0445497500000007,0.017100804371471767
K2CaVCl6,K,,Ca,V,Cl,75,K4CaV3Cl12,KCaCl3,KVCl3,0.4773999999999998,False,-1.8460799999999993,0.022208285371472236
K2CrMnCl6,K,,Cr,Mn,Cl,25,K4Cr3MnCl12,KCrCl3,KMnCl3,0.0,False,-1.5881874999999994,0.03019318467223897
K2CrMnCl6,K,,Cr,Mn,Cl,50,K2CrMnCl6,KCrCl3,KMnCl3,0.0,False,-1.6010290000000005,0.03324962497300454
K2CrMnCl6,K,,Cr,Mn,Cl,75,K4CrMn3Cl12,KCrCl3,KMnCl3,0.0,False,-1.6143929999999997,0.03578356527377302
KCsMgCaCl6,K,Cs,Mg,Ca,Cl,25,K2Cs2Mg3CaCl12,KCsMg2Cl6,KCsCa2Cl6,4.4727,True,-2.2059552499999997,0.02032962259110649
KCsMgCaCl6,K,Cs,Mg,Ca,Cl,50,KCsMgCaCl6,KCsMg2Cl6,KCsCa2Cl6,4.7078999999999995,True,-2.2930895,0.02081346660240424
KCsMgCaCl6,K,Cs,Mg,Ca,Cl,75,K2Cs2MgCa3Cl12,KCsMg2Cl6,KCsCa2Cl6,5.0971,True,-2.38515275,0.010768809644071897
K2NiCuCl6,K,,Ni,Cu,Cl,25,K4Ni3CuCl12,KNiCl3,KCuCl3,0.0,False,-1.3035444999999997,0.04749963937147106
K2NiCuCl6,K,,Ni,Cu,Cl,50,K2NiCuCl6,KNiCl3,KCuCl3,0.0,False,-1.2989934999999995,0.03932216637147112
K2NiCuCl6,K,,Ni,Cu,Cl,75,K4NiCu3Cl12,KNiCl3,KCuCl3,0.0,False,-1.3058264999999998,0.01406319487147023
KRbCoCdCl6,K,Rb,Co,Cd,Cl,25,K2Rb2Co3CdCl12,KRbCo2Cl6,KRbCd2Cl6,0.2529999999999999,False,-1.3446557499999998,0.09886645599647048
